Name,Name (multilang),Title (#{lang}),Email,UPN,External User ID,CV Partner User ID,CV Partner CV ID,Phone Number,Landline,Birth Year,Department,Country,User created at,CV Last updated by owner,CV Last updated,Years of education,Years since first work experience,Access roles,Has profile image,Owns a reference project,Read and understood privacy notice,SFIA Level,CPD Level,CPD Band,CPD Label
Thomas Mueller,int:Thomas Mueller,int:Senior Data Engineer,thomas.mueller@example.org,thomasmueller,ext_ac4745ca,ac4745ca,cv_ac4745ca,001-259-392-9378x427,5394308705,1977,Data Engineering,United Kingdom,2020-02-23,2025-03-11,2024-12-25,19,5,Country Manager,False,False,True,4,3,E,CPD3E
Lindsey Lee,int:Lindsey Lee,int:Consultant AI Engineer,lindsey.lee@example.com,lindseylee,ext_ad576ac7,ad576ac7,cv_ad576ac7,325-700-2921x85156,452-826-7528x9539,1999,AI/ML,Spain,2022-08-20,2025-03-12,2025-09-07,15,15,Administrator,True,False,True,3,2,L,CPD2L
Collin Jordan,int:Collin Jordan,int:Principal ML Engineer,collin.jordan@example.com,collinjordan,ext_416e73ea,416e73ea,cv_416e73ea,542-320-9690x2959,525.513.5521x5704,1994,AI/ML,USA,2018-03-13,2025-07-26,2025-06-19,17,16,Country Manager,True,True,True,5,3,L,CPD3L
Rodney Owens,int:Rodney Owens,int:Principal .NET Engineer,rodney.owens@example.org,rodneyowens,ext_5ca40de6,5ca40de6,cv_5ca40de6,001-915-841-0067x626,(286)717-9327x104,1999,Software Engineering,United Kingdom,2019-09-17,2025-04-04,2025-02-09,19,4,User,False,False,True,5,3,L,CPD3L
Jessica Nunez,int:Jessica Nunez,int:Consultant Analytics Engineer,jessica.nunez@example.org,jessicanunez,ext_9dc1613c,9dc1613c,cv_9dc1613c,911-252-6218x159,(629)662-0153x36884,1987,Data Engineering,USA,2025-07-06,2025-07-31,2025-01-18,15,3,Country Manager,False,True,True,3,2,L,CPD2L
Tracey Garcia,int:Tracey Garcia,int:Consultant Frontend Engineer,tracey.garcia@mail.test,traceygarcia,ext_c51c6de6,c51c6de6,cv_c51c6de6,710.269.8720,(614)897-3103x24171,1976,Software Engineering,Slovenia,2023-07-23,2024-11-20,2025-06-19,19,12,Administrator,False,True,False,3,2,L,CPD2L
Richard Morgan,int:Richard Morgan,int:Associate ML Engineer,richard.morgan@example.org,richardmorgan,ext_7223d4d3,7223d4d3,cv_7223d4d3,674.918.6256x5270,543.249.0211x586,1976,AI/ML,Ireland,2021-04-05,2024-11-16,2025-06-04,20,5,Administrator,True,True,True,2,1,E,CPD1E
Michelle Wright,int:Michelle Wright,int:Lead Data Engineer,michelle.wright@mail.test,michellewright,ext_7fc0adf7,7fc0adf7,cv_7fc0adf7,(486)387-9374x1608,001-672-723-3206x16329,1985,Data Engineering,Spain,2018-11-01,2024-11-25,2025-05-11,17,3,Country Manager,True,False,False,6,4,E,CPD4E
James West,int:James West,int:Associate Python Developer,james.west@example.org,jameswest,ext_e05886b1,e05886b1,cv_e05886b1,001-811-368-6854x8709,(622)899-9119x14856,1997,Data Engineering,Australia,2018-10-03,2025-07-30,2025-03-07,11,18,User,False,True,False,2,1,E,CPD1E
Robert Ramirez,int:Robert Ramirez,int:Consultant MLOps Engineer,robert.ramirez@example.org,robertramirez,ext_dbcd5823,dbcd5823,cv_dbcd5823,+1-279-897-0246x2996,430-674-5054x44713,1999,Data Engineering,Ireland,2022-01-08,2025-08-27,2025-04-04,10,4,User,False,True,True,3,2,L,CPD2L
John Leblanc,int:John Leblanc,int:Consultant Analytics Engineer,john.leblanc@mail.test,johnleblanc,ext_80b053e2,80b053e2,cv_80b053e2,001-775-246-9137x3678,521.248.6289x02330,1987,Data Engineering,USA,2024-02-03,2024-12-10,2024-12-18,20,12,Country Manager,False,True,False,3,2,L,CPD2L
Scott Callahan,int:Scott Callahan,int:Principal .NET Engineer,scott.callahan@example.org,scottcallahan,ext_7b908156,7b908156,cv_7b908156,705.934.5786x103,+1-272-879-8552x414,1973,Software Engineering,USA,2017-12-25,2025-02-23,2024-12-02,13,16,Administrator,True,True,True,5,3,L,CPD3L
Andrea Williams,int:Andrea Williams,int:Principal C# Developer,andrea.williams@mail.test,andreawilliams,ext_e3758b62,e3758b62,cv_e3758b62,2292333346,922.690.3494x4665,1976,Software Engineering,United Kingdom,2020-07-08,2025-05-11,2025-06-15,16,3,Administrator,True,True,False,5,3,L,CPD3L
Yvette Huff,int:Yvette Huff,int:Associate .NET Engineer,yvette.huff@mail.test,yvettehuff,ext_3d6b57f1,3d6b57f1,cv_3d6b57f1,774.689.6910,517-215-4544x4328,2001,Software Engineering,United Kingdom,2019-07-23,2025-01-04,2024-11-29,17,12,Administrator,True,True,False,2,1,E,CPD1E
Tanya House,int:Tanya House,int:Consultant Solution Architect,tanya.house@mail.test,tanyahouse,ext_73d01d39,73d01d39,cv_73d01d39,+1-565-720-7446x660,001-438-675-8428x2417,1975,Architecture,United Kingdom,2019-04-07,2025-06-27,2024-12-20,15,14,User,False,True,True,3,2,L,CPD2L
Melinda Martin,int:Melinda Martin,int:Senior Full-stack Engineer,melinda.martin@example.com,melindamartin,ext_2b3e0342,2b3e0342,cv_2b3e0342,001-682-951-3534x6554,370-899-9173,1969,Software Engineering,India,2018-06-29,2024-12-20,2025-10-19,18,20,Country Manager,True,False,False,4,3,E,CPD3E
Todd Lewis,int:Todd Lewis,int:Consultant Python Developer,todd.lewis@example.org,toddlewis,ext_4f57a3f1,4f57a3f1,cv_4f57a3f1,346.902.2356x97252,825-800-7432x92712,1999,Data Engineering,United Kingdom,2018-09-20,2025-05-01,2025-01-28,18,1,User,False,False,True,3,2,L,CPD2L
Richard Brown,int:Richard Brown,int:Associate Frontend Engineer,richard.brown@example.org,richardbrown,ext_eedcd01b,eedcd01b,cv_eedcd01b,(267)260-0835x0583,+1-233-654-2168x9421,1969,Software Engineering,India,2019-04-16,2025-03-01,2025-06-22,14,7,Administrator,True,True,False,2,1,E,CPD1E
Nicholas Galloway,int:Nicholas Galloway,int:Principal Kubernetes Engineer,nicholas.galloway@example.com,nicholasgalloway,ext_fcfcf223,fcfcf223,cv_fcfcf223,878-298-5625x7532,732.230.9821,1993,Cloud Engineering,India,2024-12-13,2025-08-28,2025-02-14,14,3,User,False,True,True,5,3,L,CPD3L
Joseph Bowers,int:Joseph Bowers,int:Senior C# Developer,joseph.bowers@example.com,josephbowers,ext_41322677,41322677,cv_41322677,(848)390-9010x0167,+1-647-423-0461,1995,Software Engineering,India,2023-03-14,2025-06-10,2024-12-09,11,14,Administrator,True,False,True,4,3,E,CPD3E
Spencer Henderson,int:Spencer Henderson,int:Consultant Python Developer,spencer.henderson@example.org,spencerhenderson,ext_6a23cb78,6a23cb78,cv_6a23cb78,(518)791-4117x39348,001-264-320-8737x530,1968,Data Engineering,Slovenia,2024-01-14,2025-09-12,2025-07-01,18,17,Country Manager,False,True,False,3,2,L,CPD2L
Susan Cowan,int:Susan Cowan,int:Senior AWS Engineer,susan.cowan@mail.test,susancowan,ext_4ce2991b,4ce2991b,cv_4ce2991b,597-921-8114,247-201-2045x5611,1995,Cloud Engineering,United Kingdom,2022-10-28,2025-02-27,2025-05-15,14,23,User,True,False,False,4,3,E,CPD3E
Angela Higgins,int:Angela Higgins,int:Senior Data Engineer,angela.higgins@example.com,angelahiggins,ext_eab6f541,eab6f541,cv_eab6f541,(725)457-9415,366-474-6762,1974,Data Engineering,India,2019-06-10,2025-07-13,2025-10-23,13,24,User,True,True,True,4,3,E,CPD3E
Eric Phillips,int:Eric Phillips,int:Associate AI Engineer,eric.phillips@example.com,ericphillips,ext_466c13d4,466c13d4,cv_466c13d4,001-702-216-9797x296,+1-527-771-6701x45089,1994,AI/ML,USA,2023-05-11,2025-01-27,2025-05-09,16,24,Country Manager,False,False,True,2,1,E,CPD1E
Tanya Riley,int:Tanya Riley,int:Consultant AI Engineer,tanya.riley@example.com,tanyariley,ext_406514eb,406514eb,cv_406514eb,489.916.3756x28900,821.575.3540x8386,2001,AI/ML,Spain,2025-05-11,2025-02-05,2025-03-27,17,10,Country Manager,False,False,True,3,2,L,CPD2L
Amy Adkins,int:Amy Adkins,int:Senior Data Platform Engineer,amy.adkins@mail.test,amyadkins,ext_be4e4992,be4e4992,cv_be4e4992,377-997-1775,001-501-966-0880x1994,1997,Data Engineering,United Kingdom,2021-09-29,2025-04-20,2025-11-03,13,24,User,True,True,True,4,3,E,CPD3E
Brian Silva,int:Brian Silva,int:Senior C# Developer,brian.silva@mail.test,briansilva,ext_20825c84,20825c84,cv_20825c84,550-237-5899x75711,554-588-5102x72614,1968,Software Engineering,Ireland,2018-07-03,2025-10-16,2025-09-04,11,7,Country Manager,True,False,False,4,3,E,CPD3E
Wesley Farrell,int:Wesley Farrell,int:Lead Data Architect,wesley.farrell@mail.test,wesleyfarrell,ext_25ea746f,25ea746f,cv_25ea746f,363-973-5160,498.427.0808x697,1991,Architecture,United Kingdom,2020-09-25,2025-01-16,2025-01-29,19,4,User,True,False,True,6,4,E,CPD4E
Eric Yu,int:Eric Yu,int:Senior AI Engineer,eric.yu@example.com,ericyu,ext_695f5505,695f5505,cv_695f5505,001-821-769-9586x6934,572-626-9848x5833,1984,AI/ML,Spain,2022-05-05,2025-08-04,2025-09-07,15,15,Country Manager,False,True,True,4,3,E,CPD3E
Christopher Lopez,int:Christopher Lopez,int:Consultant Python Developer,christopher.lopez@mail.test,christopherlopez,ext_2b79b5c8,2b79b5c8,cv_2b79b5c8,+1-652-828-8515x87996,6814062003,1996,Data Engineering,India,2020-08-25,2025-06-11,2025-03-23,11,18,Country Manager,False,True,False,3,2,L,CPD2L
Brooke Leonard,int:Brooke Leonard,int:Consultant Cloud Architect,brooke.leonard@example.com,brookeleonard,ext_596ca8c4,596ca8c4,cv_596ca8c4,542-804-3805x7198,284.206.6658,1981,Architecture,United Kingdom,2022-03-14,2025-07-05,2025-08-18,13,12,Administrator,False,True,False,3,2,L,CPD2L
Joe Wilson,int:Joe Wilson,int:Consultant Scrum Master,joe.wilson@mail.test,joewilson,ext_fb2a4878,fb2a4878,cv_fb2a4878,001-943-497-3598x9334,+1-612-228-1606x48422,1974,Delivery Management,USA,2020-09-10,2025-08-06,2025-04-24,11,1,Administrator,True,True,True,3,2,L,CPD2L
Pamela Sanchez,int:Pamela Sanchez,int:Senior AI Engineer,pamela.sanchez@mail.test,pamelasanchez,ext_af544218,af544218,cv_af544218,372-702-5909x47985,532.781.8268x86153,1972,AI/ML,Spain,2025-08-18,2025-09-14,2025-10-25,20,15,Administrator,True,True,False,4,3,E,CPD3E
Brooke Harvey,int:Brooke Harvey,int:Senior MLOps Engineer,brooke.harvey@example.com,brookeharvey,ext_d088d3c3,d088d3c3,cv_d088d3c3,554-239-8780x15739,+1-956-216-4840x85887,1993,Data Engineering,United Kingdom,2020-04-23,2025-08-12,2025-06-28,20,14,Administrator,True,False,True,4,3,E,CPD3E
Robert Silva,int:Robert Silva,int:Principal Data Architect,robert.silva@mail.test,robertsilva,ext_89e0d385,89e0d385,cv_89e0d385,835-381-1288x0133,386.312.0750,1999,Architecture,United Kingdom,2021-04-03,2025-04-15,2025-08-05,10,3,User,False,False,True,5,3,L,CPD3L
Alexandra Donovan,int:Alexandra Donovan,int:Consultant MLOps Engineer,alexandra.donovan@example.org,alexandradonovan,ext_6c854aaa,6c854aaa,cv_6c854aaa,8249819346,+1-366-750-6180x9190,1992,Data Engineering,India,2021-11-06,2025-08-15,2025-11-02,15,19,Country Manager,False,False,False,3,2,L,CPD2L
James Moran,int:James Moran,int:Consultant Cloud Architect,james.moran@example.org,jamesmoran,ext_11c2bec6,11c2bec6,cv_11c2bec6,514.449.1476x60728,001-268-842-4508x8210,1998,Architecture,United Kingdom,2019-12-09,2025-02-15,2025-10-18,12,4,Country Manager,True,True,False,3,2,L,CPD2L
John Foster,int:John Foster,int:Senior Frontend Engineer,john.foster@mail.test,johnfoster,ext_0464fa44,0464fa44,cv_0464fa44,+1-481-443-5368,(939)343-1290,1979,Software Engineering,United Kingdom,2023-11-25,2025-01-31,2025-08-11,15,19,Administrator,True,False,True,4,3,E,CPD3E
Emily Evans,int:Emily Evans,int:Principal .NET Engineer,emily.evans@mail.test,emilyevans,ext_a908c73a,a908c73a,cv_a908c73a,314-513-9755x2314,277-759-4929x95562,1970,Software Engineering,Australia,2024-11-11,2025-05-30,2025-01-05,19,8,Administrator,True,False,True,5,3,L,CPD3L
Leslie Walton,int:Leslie Walton,int:Senior Data Engineer,leslie.walton@example.org,lesliewalton,ext_db97ed10,db97ed10,cv_db97ed10,936.745.2577,001-347-281-2914x28341,1971,Data Engineering,United Kingdom,2025-08-18,2024-11-20,2024-12-11,11,17,Administrator,False,True,False,4,3,E,CPD3E
Charles Ellis,int:Charles Ellis,int:Senior Data Platform Engineer,charles.ellis@example.com,charlesellis,ext_906c1efc,906c1efc,cv_906c1efc,709.896.9308x48872,794.227.8816,1978,Data Engineering,United Kingdom,2020-12-22,2024-12-10,2025-01-18,20,11,User,True,False,True,4,3,E,CPD3E
Yolanda Ferrell,int:Yolanda Ferrell,int:Senior Analytics Engineer,yolanda.ferrell@example.com,yolandaferrell,ext_657bd9a9,657bd9a9,cv_657bd9a9,+1-239-528-2722x99275,001-273-214-5303x85677,1976,Data Engineering,USA,2023-11-19,2025-01-06,2025-07-25,19,13,User,True,True,False,4,3,E,CPD3E
Charles Lewis,int:Charles Lewis,int:Senior AI Engineer,charles.lewis@example.com,charleslewis,ext_c23f00b9,c23f00b9,cv_c23f00b9,+1-351-684-4989x2665,(438)565-5779x0827,1972,AI/ML,United Kingdom,2023-03-17,2025-11-10,2025-07-03,12,21,Country Manager,True,False,False,4,3,E,CPD3E
Joseph Mahoney,int:Joseph Mahoney,int:Consultant Cloud Architect,joseph.mahoney@example.com,josephmahoney,ext_fec92ce4,fec92ce4,cv_fec92ce4,384-532-2259,(451)477-7392x60302,1968,Architecture,Slovenia,2025-05-02,2025-05-20,2025-02-09,16,6,Country Manager,False,False,False,3,2,L,CPD2L
Nicole Suarez,int:Nicole Suarez,int:Principal Oracle Engineer,nicole.suarez@mail.test,nicolesuarez,ext_cd1f67fa,cd1f67fa,cv_cd1f67fa,+1-280-692-0242x8699,437-497-7236,1982,Cloud Engineering,Australia,2024-01-19,2025-09-23,2025-10-09,10,10,Country Manager,True,False,False,5,3,L,CPD3L
Mike Moore,int:Mike Moore,int:Associate Python Developer,mike.moore@mail.test,mikemoore,ext_5d69d4df,5d69d4df,cv_5d69d4df,+1-484-325-7991x366,9382862912,1989,Data Engineering,USA,2019-03-19,2025-10-19,2025-09-25,10,14,User,True,False,True,2,1,E,CPD1E
Martha Warner,int:Martha Warner,int:Principal MLOps Engineer,martha.warner@example.org,marthawarner,ext_db55e9f1,db55e9f1,cv_db55e9f1,+1-881-817-2980,(408)663-7659x916,2002,Data Engineering,United Kingdom,2022-11-25,2025-01-27,2025-02-07,14,8,User,True,True,False,5,3,L,CPD3L
Cheryl Archer,int:Cheryl Archer,int:Principal Solution Architect,cheryl.archer@example.com,cherylarcher,ext_8ee0ca28,8ee0ca28,cv_8ee0ca28,331.249.8643x0098,(735)665-1269x4486,1973,Architecture,United Kingdom,2022-07-28,2024-12-24,2025-06-19,13,4,User,True,True,True,5,3,L,CPD3L
Destiny Smith,int:Destiny Smith,int:Principal DevOps Engineer,destiny.smith@mail.test,destinysmith,ext_3478280a,3478280a,cv_3478280a,+1-763-868-8725x88744,001-221-437-2138x6589,1998,Cloud Engineering,Australia,2020-05-22,2025-05-04,2025-05-10,11,21,User,False,True,False,5,3,L,CPD3L
Lisa Evans,int:Lisa Evans,int:Senior Databricks Engineer,lisa.evans@mail.test,lisaevans,ext_4b396988,4b396988,cv_4b396988,(201)827-9611x4351,(598)249-0277x0384,1982,Data Engineering,United Kingdom,2022-11-11,2025-02-11,2025-04-18,12,25,User,True,True,False,4,3,E,CPD3E
Elizabeth Mcmillan,int:Elizabeth Mcmillan,int:Principal Python Developer,elizabeth.mcmillan@example.org,elizabethmcmillan,ext_7d1da84d,7d1da84d,cv_7d1da84d,+1-688-839-2053x021,(766)793-8011x848,2001,Data Engineering,India,2021-03-07,2025-04-27,2024-11-15,19,8,User,False,False,True,5,3,L,CPD3L
Dennis Wilson,int:Dennis Wilson,int:Consultant Scrum Master,dennis.wilson@example.org,denniswilson,ext_a0a72fdc,a0a72fdc,cv_a0a72fdc,339-337-6904x268,745.918.4894x76973,1975,Delivery Management,India,2020-11-02,2025-10-06,2024-12-01,13,7,Administrator,True,True,False,3,2,L,CPD2L
Daniel Tran,int:Daniel Tran,int:Senior MLOps Engineer,daniel.tran@example.org,danieltran,ext_7120f534,7120f534,cv_7120f534,+1-279-607-1416x33565,741.765.1827,1988,Data Engineering,Spain,2025-02-14,2025-11-09,2024-11-22,18,13,Administrator,False,False,False,4,3,E,CPD3E
Joseph Jacobs,int:Joseph Jacobs,int:Principal AWS Engineer,joseph.jacobs@example.com,josephjacobs,ext_87ead6e0,87ead6e0,cv_87ead6e0,694.523.7333,933.295.2111,1977,Cloud Engineering,India,2024-03-18,2025-04-19,2025-07-03,11,19,User,True,False,False,5,3,L,CPD3L
Jennifer Harris,int:Jennifer Harris,int:Associate Frontend Engineer,jennifer.harris@example.org,jenniferharris,ext_71b33c16,71b33c16,cv_71b33c16,001-880-575-9579x47284,001-392-908-6780x85627,1979,Software Engineering,Australia,2022-10-14,2025-05-30,2024-11-27,19,20,Country Manager,False,True,False,2,1,E,CPD1E
Cynthia Baker,int:Cynthia Baker,int:Senior Backend Engineer,cynthia.baker@example.com,cynthiabaker,ext_6bed4b66,6bed4b66,cv_6bed4b66,500-636-9155x94284,995.452.7636x5564,1969,Software Engineering,Slovenia,2022-02-01,2025-06-15,2025-04-03,14,16,Country Manager,True,True,True,4,3,E,CPD3E
Tracy Whitehead,int:Tracy Whitehead,int:Principal Databricks Engineer,tracy.whitehead@example.com,tracywhitehead,ext_4e9c7a8c,4e9c7a8c,cv_4e9c7a8c,001-829-531-4386,(727)902-6728,1973,Data Engineering,Ireland,2023-10-08,2025-02-25,2025-08-26,16,24,Country Manager,False,False,True,5,3,L,CPD3L
Meghan Davis,int:Meghan Davis,int:Associate .NET Engineer,meghan.davis@mail.test,meghandavis,ext_ba06d28c,ba06d28c,cv_ba06d28c,948-790-6120x3471,555-488-4506x159,1979,Software Engineering,Slovenia,2023-09-18,2024-11-20,2025-08-06,13,2,Administrator,False,True,False,2,1,E,CPD1E
Rodney Hill,int:Rodney Hill,int:Associate C# Developer,rodney.hill@example.org,rodneyhill,ext_174773e9,174773e9,cv_174773e9,001-745-858-7716x94722,+1-899-661-1253x5544,1983,Software Engineering,Australia,2021-09-12,2025-07-06,2024-11-28,12,16,Country Manager,False,False,True,2,1,E,CPD1E
Adam Wise,int:Adam Wise,int:Lead Data Engineer,adam.wise@example.org,adamwise,ext_ce281d4c,ce281d4c,cv_ce281d4c,359.587.6220x234,(861)311-7800,1981,Data Engineering,United Kingdom,2023-05-24,2024-12-01,2025-11-11,20,7,User,False,False,True,6,4,E,CPD4E
Dana Green,int:Dana Green,int:Head of Azure Engineering,dana.green@example.org,danagreen,ext_1c12e815,1c12e815,cv_1c12e815,649-921-6433,+1-922-482-0055x7784,1982,Head of Azure Engineering,United Kingdom,2023-01-17,2025-03-25,2025-07-09,20,9,User,False,False,False,6,4,E,CPD4E
Joyce Arnold,int:Joyce Arnold,int:Senior Full-stack Engineer,joyce.arnold@example.com,joycearnold,ext_ac83e5c1,ac83e5c1,cv_ac83e5c1,001-982-599-7968x845,274-456-4240,1974,Software Engineering,Ireland,2025-10-16,2025-03-14,2025-10-14,18,21,User,False,False,True,4,3,E,CPD3E
Ronald Smith,int:Ronald Smith,int:Senior Backend Engineer,ronald.smith@mail.test,ronaldsmith,ext_56e15b01,56e15b01,cv_56e15b01,(547)280-7740x649,+1-853-868-6632,1987,Software Engineering,Ireland,2023-10-06,2025-11-02,2024-12-15,10,20,Administrator,False,False,True,4,3,E,CPD3E
Charles Ware,int:Charles Ware,int:Senior Databricks Engineer,charles.ware@example.com,charlesware,ext_ce90ebfe,ce90ebfe,cv_ce90ebfe,641.863.8944,612.924.1797,1992,Data Engineering,Ireland,2025-06-24,2025-03-01,2025-06-15,15,24,User,True,False,False,4,3,E,CPD3E
Rebecca Gardner,int:Rebecca Gardner,int:Principal Delivery Manager,rebecca.gardner@example.com,rebeccagardner,ext_ecaed2c3,ecaed2c3,cv_ecaed2c3,650.620.8021,(770)831-2073,1974,Delivery Management,Spain,2020-08-05,2025-07-25,2025-05-18,18,25,Administrator,True,False,True,5,3,L,CPD3L
Mary Aguilar,int:Mary Aguilar,int:Principal Data Platform Engineer,mary.aguilar@example.org,maryaguilar,ext_cbceebf6,cbceebf6,cv_cbceebf6,975-470-5120x4618,246.501.3673,1984,Data Engineering,Ireland,2019-04-23,2025-08-08,2025-03-04,11,16,Country Manager,True,True,False,5,3,L,CPD3L
Earl Anderson,int:Earl Anderson,int:Lead Data Platform Engineer,earl.anderson@example.com,earlanderson,ext_5089208d,5089208d,cv_5089208d,318.637.6452x088,343.850.3136x5024,1971,Data Engineering,Spain,2024-03-08,2025-08-15,2025-10-05,15,14,Administrator,False,True,False,6,4,E,CPD4E
Kyle Nolan,int:Kyle Nolan,int:Associate Data Scientist,kyle.nolan@mail.test,kylenolan,ext_54c2d1e1,54c2d1e1,cv_54c2d1e1,500.497.9251,719.750.0528x1273,1968,AI/ML,Spain,2020-10-21,2025-09-10,2025-01-05,12,19,Country Manager,True,False,True,2,1,E,CPD1E
Laura Valencia,int:Laura Valencia,int:Principal Frontend Engineer,laura.valencia@mail.test,lauravalencia,ext_4cbc4f1d,4cbc4f1d,cv_4cbc4f1d,930.565.2407x784,001-428-355-7498,1968,Software Engineering,USA,2025-06-14,2024-12-04,2025-11-13,15,1,User,False,True,True,5,3,L,CPD3L
Rachel Clark,int:Rachel Clark,int:Principal Data Platform Engineer,rachel.clark@mail.test,rachelclark,ext_d591bc06,d591bc06,cv_d591bc06,727.544.8570x86209,318-363-8782x94565,1976,Data Engineering,United Kingdom,2024-09-21,2025-03-27,2025-02-22,12,3,Country Manager,True,False,False,5,3,L,CPD3L
John Garcia,int:John Garcia,int:Consultant Analytics Engineer,john.garcia@example.com,johngarcia,ext_b8da657b,b8da657b,cv_b8da657b,910.622.0317x31096,9532910371,1989,Data Engineering,Ireland,2020-05-18,2025-09-09,2025-07-30,12,13,Country Manager,True,True,True,3,2,L,CPD2L
Kimberly Henson,int:Kimberly Henson,int:Senior C# Developer,kimberly.henson@mail.test,kimberlyhenson,ext_5a22a620,5a22a620,cv_5a22a620,(586)350-9480x141,438-863-3839,1970,Software Engineering,India,2021-09-01,2024-12-16,2025-11-05,18,20,User,True,True,True,4,3,E,CPD3E
Richard Oliver,int:Richard Oliver,int:Consultant Databricks Engineer,richard.oliver@example.com,richardoliver,ext_3671ba15,3671ba15,cv_3671ba15,001-419-957-6122x8685,(558)855-6659x398,1984,Data Engineering,United Kingdom,2020-07-21,2024-12-12,2025-09-25,13,23,User,True,False,False,3,2,L,CPD2L
Eric Spears,int:Eric Spears,int:Principal .NET Engineer,eric.spears@mail.test,ericspears,ext_bd1faa30,bd1faa30,cv_bd1faa30,001-684-257-7600x49082,233-950-4888x9921,1974,Software Engineering,Ireland,2020-02-20,2025-01-08,2025-08-05,14,4,User,True,False,True,5,3,L,CPD3L
Michelle Cherry,int:Michelle Cherry,int:Principal Data Scientist,michelle.cherry@example.com,michellecherry,ext_d5706315,d5706315,cv_d5706315,(822)545-9334x419,001-315-272-7919x4096,1986,AI/ML,India,2024-01-29,2025-11-14,2025-11-09,13,23,Administrator,False,False,True,5,3,L,CPD3L
Lisa Keith,int:Lisa Keith,int:Consultant Kubernetes Engineer,lisa.keith@example.com,lisakeith,ext_2feaddd6,2feaddd6,cv_2feaddd6,001-755-466-1390x60480,883-420-6799x81364,1973,Cloud Engineering,United Kingdom,2020-02-20,2025-07-03,2025-03-23,14,21,Administrator,True,False,False,3,2,L,CPD2L
Angel Doyle,int:Angel Doyle,int:Senior Project Manager,angel.doyle@example.com,angeldoyle,ext_c7b3373d,c7b3373d,cv_c7b3373d,(351)879-0864,562.527.8376x93898,1988,Delivery Management,United Kingdom,2021-02-05,2024-12-11,2024-12-19,11,25,User,True,True,True,4,3,E,CPD3E
Martin Galvan,int:Martin Galvan,int:Senior Scrum Master,martin.galvan@example.com,martingalvan,ext_907757cf,907757cf,cv_907757cf,746-759-1166,955.490.4259,1973,Delivery Management,Ireland,2021-09-11,2025-05-02,2024-11-27,11,13,Country Manager,False,False,False,4,3,E,CPD3E
Leah Shields,int:Leah Shields,int:Associate .NET Engineer,leah.shields@mail.test,leahshields,ext_8406f0ef,8406f0ef,cv_8406f0ef,603.235.2110x392,914-477-0538x33884,1976,Software Engineering,USA,2018-01-25,2025-08-15,2025-01-07,12,4,User,False,False,False,2,1,E,CPD1E
Lisa Adams,int:Lisa Adams,int:Principal .NET Engineer,lisa.adams@mail.test,lisaadams,ext_9181fe0f,9181fe0f,cv_9181fe0f,001-606-298-0420x439,301.764.5104x636,1999,Software Engineering,Ireland,2024-08-10,2024-11-20,2024-12-03,10,3,Country Manager,False,False,True,5,3,L,CPD3L
Kristin Rodriguez,int:Kristin Rodriguez,int:Consultant Full-stack Engineer,kristin.rodriguez@example.com,kristinrodriguez,ext_0bcbe012,0bcbe012,cv_0bcbe012,698.712.3878x0038,862.205.5543x8404,1989,Software Engineering,Slovenia,2020-01-20,2024-12-11,2024-12-04,16,22,User,True,False,False,3,2,L,CPD2L
Monica Garrison,int:Monica Garrison,int:Principal Oracle Engineer,monica.garrison@example.org,monicagarrison,ext_804fe40c,804fe40c,cv_804fe40c,+1-543-825-6216,492.564.9578,1971,Cloud Engineering,United Kingdom,2025-09-29,2025-03-09,2025-06-04,18,16,User,False,True,True,5,3,L,CPD3L
Jeffrey Velasquez,int:Jeffrey Velasquez,int:Lead Data Architect,jeffrey.velasquez@example.org,jeffreyvelasquez,ext_1615194f,1615194f,cv_1615194f,+1-729-383-2482x6292,+1-881-625-2056,1993,Architecture,Ireland,2023-03-29,2025-04-01,2025-06-07,17,19,Administrator,False,True,False,6,4,E,CPD4E
Steven Torres,int:Steven Torres,int:Associate AWS Engineer,steven.torres@example.org,steventorres,ext_78d78c43,78d78c43,cv_78d78c43,542.531.2209x949,705.417.2897,1993,Cloud Engineering,Australia,2021-04-02,2025-05-25,2025-05-13,11,20,Administrator,False,True,False,2,1,E,CPD1E
Laura Perez,int:Laura Perez,int:Principal DevOps Engineer,laura.perez@example.com,lauraperez,ext_fc4cf241,fc4cf241,cv_fc4cf241,(577)522-3306x0463,827-297-5736,1991,Cloud Engineering,United Kingdom,2020-10-19,2024-12-26,2025-06-19,20,8,Administrator,True,False,False,5,3,L,CPD3L
Andrew Lee,int:Andrew Lee,int:Consultant AWS Engineer,andrew.lee@example.com,andrewlee,ext_653b93d3,653b93d3,cv_653b93d3,+1-965-969-9988x081,2385860868,1999,Cloud Engineering,Ireland,2024-04-19,2025-04-28,2025-07-28,11,9,User,True,True,True,3,2,L,CPD2L
Mark Lin,int:Mark Lin,int:Principal AWS Engineer,mark.lin@mail.test,marklin,ext_911f38d4,911f38d4,cv_911f38d4,976-944-7264x9082,781-929-8266,1970,Cloud Engineering,United Kingdom,2018-10-10,2025-02-17,2025-10-22,17,15,User,True,False,True,5,3,L,CPD3L
Tammy Ramirez,int:Tammy Ramirez,int:Principal Kubernetes Engineer,tammy.ramirez@example.com,tammyramirez,ext_57cf6178,57cf6178,cv_57cf6178,4273937145,417-851-8689,1979,Cloud Engineering,USA,2018-02-12,2025-04-15,2025-01-08,12,4,User,False,False,False,5,3,L,CPD3L
